judet,totalsomeridincare:,farastudii,invatamantprimar,invatamantgimnazial,invatamantliceal,invatamantposticeal,invatamantprofesional/artesimeserii,invatamantuniversitar,origin,judet.1,numartotalsomeri,numartotalsomerifemei,numartotalsomeribarbati,numartotalsomeridinmediulurban,numarsomerifemeidinmediulurban,numarsomeribarbatidinmediulurban,numartotalsomeridinmediulrural,numarsomerifemeidinmediulrural,numarsomeribarbatidinmediulrural,origin.1,judet.2,numartotalsomeri.1,numartotalsomerifemei.1,numartotalsomeribarbati.1,numarsomeriindemnizati,numarsomerineindemnizati,ratasomajului(%),ratasomajuluifeminina(%),ratasomajuluimasculina(%),origin.2,judet.3,total,sub25ani,2529ani,3039ani,4049ani,5055ani,peste55ani,origin.3,year,month,yearmonth
alba,5690,704,775,1670,1283,44,946,268,18-08-educatie,alba,5690,2546,3144,1991,1006,985,3699,1540,2159,18-08-medii,alba,5690,2546,3144,1767,3923,3.38,3.37,3.38,18-08-rata,alba,5690,689,331,1125,1579,922,1044,18-08-varsta,2018,8,201808
arad,2859,0,1102,896,434,25,208,194,18-08-educatie,arad,2859,1361,1498,935,495,440,1924,866,1058,18-08-medii,arad,2859,1361,1498,839,2020,1.32,1.41,1.25,18-08-rata,arad,2859,286,123,413,760,503,774,18-08-varsta,2018,8,201808
arges,8822,893,2240,2891,1204,74,1166,354,18-08-educatie,arges,8822,3930,4892,1234,722,512,7588,3208,4380,18-08-medii,arges,8822,3930,4892,1561,7261,3.44,3.27,3.59,18-08-rata,arges,8822,1014,538,1753,2464,1521,1532,18-08-varsta,2018,8,201808
bacau,12947,1984,2878,2450,2162,126,2933,414,18-08-educatie,bacau,12947,5118,7829,2812,1193,1619,10135,3925,6210,18-08-medii,bacau,12947,5118,7829,1797,11150,6.12,5.64,6.49,18-08-rata,bacau,12947,1785,1981,2249,2363,2340,2229,18-08-varsta,2018,8,201808
bihor,4144,716,823,818,861,84,419,423,18-08-educatie,bihor,4144,2120,2024,1293,754,539,2851,1366,1485,18-08-medii,bihor,4144,2120,2024,1571,2573,1.55,1.68,1.43,18-08-rata,bihor,4144,714,261,863,1095,669,542,18-08-varsta,2018,8,201808
bistrita,3395,73,476,1351,694,47,549,205,18-08-educatie,bistrita,3395,1711,1684,1011,585,426,2384,1126,1258,18-08-medii,bistrita,3395,1711,1684,1451,1944,2.57,2.89,2.31,18-08-rata,bistrita,3395,469,196,618,899,621,592,18-08-varsta,2018,8,201808
botosani,4146,165,1229,1223,705,41,641,142,18-08-educatie,botosani,4146,1817,2329,1323,644,679,2823,1173,1650,18-08-medii,botosani,4146,1817,2329,693,3453,2.97,2.72,3.2,18-08-rata,botosani,4146,491,172,643,1254,673,913,18-08-varsta,2018,8,201808
braila,5177,864,1367,1807,401,44,509,185,18-08-educatie,braila,5177,2074,3103,1200,579,621,3977,1495,2482,18-08-medii,braila,5177,2074,3103,507,4670,4.16,3.76,4.48,18-08-rata,braila,5177,520,262,964,1576,656,1199,18-08-varsta,2018,8,201808
brasov,6331,575,1627,2689,627,60,440,313,18-08-educatie,brasov,6331,2761,3570,1722,894,828,4609,1867,2742,18-08-medii,brasov,6331,2761,3570,906,5425,2.41,2.52,2.34,18-08-rata,brasov,6331,865,468,1441,1558,897,1102,18-08-varsta,2018,8,201808
bucuresti,17371,30,149,3072,5743,317,3087,4973,18-08-educatie,buc,17371,9094,8277,17371,9094,8277,0,0,0,18-08-medii,buc,17371,9094,8277,2290,15081,1.46,1.56,1.36,18-08-rata,buc,8717,373,1945,4307,4681,3201,2864,18-08-varsta,2018,8,201808
buzau,12526,1305,1474,6508,1393,77,1627,142,18-08-educatie,buzau,12526,5037,7489,2225,1077,1148,10301,3960,6341,18-08-medii,buzau,12526,5037,7489,1370,11156,7.17,6.44,7.76,18-08-rata,buzau,17371,1384,587,2190,3758,1980,2627,18-08-varsta,2018,8,201808
calarasi,3984,558,1059,1296,652,34,319,66,18-08-educatie,calarasi,3984,1911,2073,924,494,430,3060,1417,1643,18-08-medii,calarasi,3984,1911,2073,534,3450,4.23,4.24,4.22,18-08-rata,calarasi,12526,505,180,783,1053,632,831,18-08-varsta,2018,8,201808
caras,3767,260,607,1224,928,58,475,215,18-08-educatie,caras,3767,1667,2100,1544,725,819,2223,942,1281,18-08-medii,caras,3767,1667,2100,1390,2377,3.39,3.37,3.4,18-08-rata,caras,3984,523,222,610,1073,652,687,18-08-varsta,2018,8,201808
cluj,5088,944,832,1116,935,86,711,464,18-08-educatie,cluj,5088,2529,2559,2235,1302,933,2853,1227,1626,18-08-medii,cluj,5088,2529,2559,1233,3855,1.41,1.57,1.28,18-08-rata,cluj,3767,650,301,966,1401,862,908,18-08-varsta,2018,8,201808
constanta,5534,413,1037,1440,903,65,758,918,18-08-educatie,constanta,5534,2824,2710,2751,1592,1159,2783,1232,1551,18-08-medii,constanta,5534,2824,2710,1579,3955,1.87,2.31,1.55,18-08-rata,constanta,5088,520,247,1070,1490,941,1266,18-08-varsta,2018,8,201808
covasna,3101,453,935,730,595,22,282,84,18-08-educatie,covasna,3101,1372,1729,1001,466,535,2100,906,1194,18-08-medii,covasna,3101,1372,1729,480,2621,3.59,3.35,3.82,18-08-rata,covasna,5534,949,198,553,658,313,430,18-08-varsta,2018,8,201808
dambovita,9255,1041,1880,2471,2385,61,1137,280,18-08-educatie,dambovita,9255,4271,4984,1481,762,719,7774,3509,4265,18-08-medii,dambovita,9255,4271,4984,1135,8120,4.77,5.33,4.38,18-08-rata,dambovita,3101,1892,421,1374,2231,1475,1862,18-08-varsta,2018,8,201808
dolj,20432,929,9288,5892,1968,120,1836,399,18-08-educatie,dolj,20432,8392,12040,2974,1523,1451,17458,6869,10589,18-08-medii,dolj,20432,8392,12040,2130,18302,7.71,7.05,8.24,18-08-rata,dolj,9255,2079,1125,3756,6072,3438,3962,18-08-varsta,2018,8,201808
galati,13731,1664,2587,5606,2232,54,1273,315,18-08-educatie,galati,13731,5979,7752,2601,1434,1167,11130,4545,6585,18-08-medii,galati,13731,5979,7752,1219,12512,7.08,6.93,7.2,18-08-rata,galati,20432,2305,482,2019,3930,2174,2821,18-08-varsta,2018,8,201808
giurgiu,2515,434,490,738,587,18,179,69,18-08-educatie,giurgiu,2515,1255,1260,559,321,238,1956,934,1022,18-08-medii,giurgiu,2515,1255,1260,482,2033,3.03,3.29,2.81,18-08-rata,giurgiu,13731,456,95,372,569,453,570,18-08-varsta,2018,8,201808
gorj,6052,304,484,1941,1654,164,1110,395,18-08-educatie,gorj,6052,2688,3364,1966,1009,957,4086,1679,2407,18-08-medii,gorj,6052,2688,3364,2059,3993,4.45,4.38,4.51,18-08-rata,gorj,2515,649,233,940,1680,900,1650,18-08-varsta,2018,8,201808
harghita,5754,1334,1444,994,1107,47,588,240,18-08-educatie,harghita,5754,2545,3209,1772,866,906,3982,1679,2303,18-08-medii,harghita,5754,2545,3209,1433,4321,4.25,4.32,4.19,18-08-rata,harghita,6052,1251,398,1210,1385,734,776,18-08-varsta,2018,8,201808
hunedoara,6786,570,573,1654,2196,107,1074,612,18-08-educatie,hunedoara,6786,3432,3354,4752,2467,2285,2034,965,1069,18-08-medii,hunedoara,6786,3432,3354,3130,3656,3.74,4.14,3.41,18-08-rata,hunedoara,5754,791,422,1187,2241,1232,913,18-08-varsta,2018,8,201808
ialomita,5412,367,1353,2048,794,53,727,70,18-08-educatie,ialomita,5412,2328,3084,1607,675,932,3805,1653,2152,18-08-medii,ialomita,5412,2328,3084,827,4585,5.63,5.27,5.93,18-08-rata,ialomita,6786,699,236,928,1510,934,1105,18-08-varsta,2018,8,201808
iasi,9927,779,1978,3411,958,60,2436,305,18-08-educatie,iasi,9927,4241,5686,1683,809,874,8244,3432,4812,18-08-medii,iasi,9927,4241,5686,920,9007,3.43,3.23,3.61,18-08-rata,iasi,5412,1012,246,1537,2821,1887,2424,18-08-varsta,2018,8,201808
ilfov,1118,231,325,165,222,6,84,85,18-08-educatie,ilfov,1118,605,513,227,147,80,891,458,433,18-08-medii,ilfov,1118,605,513,355,763,0.6,0.75,0.48,18-08-rata,ilfov,9927,162,52,233,302,165,204,18-08-varsta,2018,8,201808
maramures,6473,200,2614,1341,1207,85,669,357,18-08-educatie,maramures,6473,3109,3364,3216,1637,1579,3257,1472,1785,18-08-medii,maramures,6473,3109,3364,1353,5120,3.3,3.45,3.16,18-08-rata,maramures,1118,764,523,1479,1687,1042,978,18-08-varsta,2018,8,201808
mehedinti,8717,0,1774,4289,1404,118,1033,99,18-08-educatie,mehedinti,8717,3526,5191,1802,792,1010,6915,2734,4181,18-08-medii,mehedinti,8717,3526,5191,1661,7056,8.37,7.35,9.25,18-08-rata,mehedinti,6473,541,361,1876,2900,1368,1671,18-08-varsta,2018,8,201808
mures,7411,1235,2323,1564,602,61,1402,224,18-08-educatie,mures,7411,2780,4631,1249,665,584,6162,2115,4047,18-08-medii,mures,7411,2780,4631,1064,6347,3.17,2.72,3.52,18-08-rata,mures,7411,1042,620,1706,2096,902,1045,18-08-varsta,2018,8,201808
neamt,9441,1091,1693,2952,1911,79,1452,263,18-08-educatie,neamt,9441,4016,5425,1634,832,802,7807,3184,4623,18-08-medii,neamt,9441,4016,5425,1545,7896,5.18,5.08,5.25,18-08-rata,neamt,9441,1129,416,1664,2733,1600,1899,18-08-varsta,2018,8,201808
olt,10235,1532,1297,4381,1460,60,1391,114,18-08-educatie,olt,10235,4144,6091,2035,989,1046,8200,3155,5045,18-08-medii,olt,10235,4144,6091,1059,9176,6.29,5.52,6.96,18-08-rata,olt,10235,977,396,1686,3108,1863,2205,18-08-varsta,2018,8,201808
prahova,8281,433,2688,1883,1473,128,1204,472,18-08-educatie,prahova,8281,3976,4305,2658,1393,1265,5623,2583,3040,18-08-medii,prahova,8281,3976,4305,2550,5731,2.79,3.06,2.57,18-08-rata,prahova,8281,1123,349,1425,2325,1514,1545,18-08-varsta,2018,8,201808
salaj,4675,198,992,2123,736,25,447,154,18-08-educatie,salaj,4675,1892,2783,889,456,433,3786,1436,2350,18-08-medii,salaj,4675,1892,2783,846,3829,4.53,4.1,4.88,18-08-rata,salaj,4675,840,374,1006,1177,649,629,18-08-varsta,2018,8,201808
satumare,3913,442,1846,1005,295,10,217,98,18-08-educatie,satumare,3913,1692,2221,748,359,389,3165,1333,1832,18-08-medii,satum,3913,1692,2221,439,3474,2.66,2.52,2.78,18-08-rata,satumare,3913,556,303,943,1067,522,522,18-08-varsta,2018,8,201808
sibiu,3703,194,1012,1341,426,52,430,248,18-08-educatie,sibiu,3703,1719,1984,1179,596,583,2524,1123,1401,18-08-medii,sibiu,3703,1719,1984,967,2736,1.87,1.94,1.82,18-08-rata,sibiu,3703,352,257,754,974,619,747,18-08-varsta,2018,8,201808
suceava,12323,90,372,7333,2263,126,1761,378,18-08-educatie,suceava,12323,5422,6901,3263,1629,1634,9060,3793,5267,18-08-medii,suceava,12323,5422,6901,2891,9432,5.31,5.2,5.41,18-08-rata,suceava,12323,2768,756,2192,3062,1526,2019,18-08-varsta,2018,8,201808
teleorman,12299,529,1919,6440,1988,78,1228,117,18-08-educatie,teleorman,12299,4917,7382,2696,1265,1431,9603,3652,5951,18-08-medii,teleorman,12299,4917,7382,1495,10804,8.27,6.77,9.7,18-08-rata,teleorman,12299,1601,654,2116,3378,2126,2424,18-08-varsta,2018,8,201808
timis,2912,409,315,541,696,39,526,386,18-08-educatie,timis,2912,1567,1345,1354,804,550,1558,763,795,18-08-medii,timis,2912,1567,1345,1487,1425,0.84,1.03,0.69,18-08-rata,timis,2912,334,146,479,883,471,599,18-08-varsta,2018,8,201808
tulcea,2505,0,834,1057,369,0,221,24,18-08-educatie,tulcea,2505,1123,1382,693,363,330,1812,760,1052,18-08-medii,tulcea,2505,1123,1382,554,1951,2.98,2.86,3.08,18-08-rata,tulcea,2505,401,186,570,696,373,279,18-08-varsta,2018,8,201808
valcea,5423,193,531,1599,1746,93,909,352,18-08-educatie,valcea,5423,2659,2764,1920,1015,905,3503,1644,1859,18-08-medii,valcea,5423,2659,2764,1703,3720,3.34,3.66,3.07,18-08-rata,valcea,5423,1035,291,889,1515,897,796,18-08-varsta,2018,8,201808
vaslui,12163,480,2537,5258,2116,56,1610,106,18-08-educatie,vaslui,12163,4783,7380,1381,696,685,10782,4087,6695,18-08-medii,vaslui,12163,4783,7380,847,11316,8.7,7.16,10.11,18-08-rata,vaslui,12163,964,402,2121,4178,2135,2363,18-08-varsta,2018,8,201808
vrancea,6251,680,1852,1970,910,52,637,150,18-08-educatie,vrancea,6251,2652,3599,1291,628,663,4960,2024,2936,18-08-medii,vrancea,6251,2652,3599,934,5317,4.5,4.01,4.95,18-08-rata,vrancea,6251,884,314,1001,1670,1034,1348,18-08-varsta,2018,8,201808
alba,5618,687,775,1604,1289,59,915,289,18-09-educatie,alba,5618,2559,3059,2010,1021,989,3608,1538,2070,18-09-medii,alba,5618,2559,3059,1729,3889,3.34,3.35,3.33,18-09-rata,alba,5618,799,314,1088,1515,904,998,18-09-varsta,2018,9,201809
arad,2912,1083,391,555,445,25,219,194,18-09-educatie,arad,2912,1420,1492,1006,541,465,1906,879,1027,18-09-medii,arad,2912,1420,1492,829,2083,1.36,1.51,1.25,18-09-rata,arad,2912,291,125,421,781,506,788,18-09-varsta,2018,9,201809
arges,8713,876,2228,2823,1226,77,1131,352,18-09-educatie,arges,8713,3927,4786,1241,729,512,7472,3198,4274,18-09-medii,arges,8713,3927,4786,1557,7156,3.35,3.25,3.44,18-09-rata,arges,8713,1109,493,1697,2406,1480,1528,18-09-varsta,2018,9,201809
bacau,12800,1984,2867,2420,2091,125,2922,391,18-09-educatie,bacau,12800,5123,7677,2770,1198,1572,10030,3925,6105,18-09-medii,bacau,12800,5123,7677,1761,11039,6.05,5.62,6.37,18-09-rata,bacau,12800,1547,1535,2212,2833,2303,2370,18-09-varsta,2018,9,201809
bihor,4213,1028,957,534,821,76,395,402,18-09-educatie,bihor,4213,2125,2088,1296,759,537,2917,1366,1551,18-09-medii,bihor,4213,2125,2088,1419,2794,1.58,1.74,1.44,18-09-rata,bihor,4213,727,259,870,1063,691,603,18-09-varsta,2018,9,201809
bistrita,3712,237,516,1338,776,64,584,197,18-09-educatie,bistrita,3712,1912,1800,1090,627,463,2622,1285,1337,18-09-medii,bistrita,3712,1912,1800,1460,2252,2.83,3.34,2.43,18-09-rata,bistrita,3712,575,207,679,937,691,623,18-09-varsta,2018,9,201809
botosani,4088,159,1278,1176,693,48,585,149,18-09-educatie,botosani,4088,1806,2282,1308,639,669,2780,1167,1613,18-09-medii,botosani,4088,1806,2282,667,3421,2.99,2.82,3.15,18-09-rata,botosani,4088,520,169,634,1211,650,904,18-09-varsta,2018,9,201809
braila,5128,835,1328,1808,437,48,501,171,18-09-educatie,braila,5128,2074,3054,1207,577,630,3921,1497,2424,18-09-medii,braila,5128,2074,3054,483,4645,4.08,3.68,4.41,18-09-rata,braila,5128,587,245,929,1552,636,1179,18-09-varsta,2018,9,201809
brasov,6068,1616,1549,1493,618,50,452,290,18-09-educatie,brasov,6068,2700,3368,1673,888,785,4395,1812,2583,18-09-medii,brasov,6068,2700,3368,887,5181,2.32,2.45,2.23,18-09-rata,brasov,6068,839,454,1352,1469,900,1054,18-09-varsta,2018,9,201809
bucuresti,17106,27,118,3028,5567,325,3075,4966,18-09-educatie,buc,17106,8913,8193,17106,8913,8193,0,0,0,18-09-medii,buc,17106,8913,8193,2215,14891,1.43,1.51,1.35,18-09-rata,buc,17106,354,1891,4192,4678,3185,2806,18-09-varsta,2018,9,201809
buzau,12312,2393,2817,3933,1349,84,1606,130,18-09-educatie,buzau,12312,4984,7328,2189,1074,1115,10123,3910,6213,18-09-medii,buzau,12312,4984,7328,1340,10972,7.11,6.3,7.8,18-09-rata,buzau,12312,1356,575,2125,3680,1955,2621,18-09-varsta,2018,9,201809
calarasi,3923,513,1058,1283,633,48,318,70,18-09-educatie,calarasi,3923,1897,2026,922,492,430,3001,1405,1596,18-09-medii,calarasi,3923,1897,2026,509,3414,4.31,4.45,4.19,18-09-rata,calarasi,3923,486,166,791,1030,615,835,18-09-varsta,2018,9,201809
caras,3755,547,629,887,905,64,493,230,18-09-educatie,caras,3755,1676,2079,1572,753,819,2183,923,1260,18-09-medii,caras,3755,1676,2079,1390,2365,3.43,3.43,3.43,18-09-rata,caras,3755,545,220,608,1062,643,677,18-09-varsta,2018,9,201809
cluj,4994,918,796,1106,918,93,703,460,18-09-educatie,cluj,4994,2500,2494,2196,1294,902,2798,1206,1592,18-09-medii,cluj,4994,2500,2494,1208,3786,1.36,1.56,1.21,18-09-rata,cluj,4994,644,299,955,1353,858,885,18-09-varsta,2018,9,201809
constanta,5633,853,1429,1413,942,54,579,363,18-09-educatie,constanta,5633,2953,2680,2815,1669,1146,2818,1284,1534,18-09-medii,constanta,5633,2953,2680,1683,3950,1.92,2.35,1.6,18-09-rata,constanta,5633,512,260,1079,1515,968,1299,18-09-varsta,2018,9,201809
covasna,2965,533,947,634,498,26,263,64,18-09-educatie,covasna,2965,1315,1650,916,440,476,2049,875,1174,18-09-medii,covasna,2965,1315,1650,421,2544,3.45,3.31,3.56,18-09-rata,covasna,2965,845,181,547,653,301,438,18-09-varsta,2018,9,201809
dambovita,9074,1030,1862,2423,2299,79,1119,262,18-09-educatie,dambovita,9074,4222,4852,1417,741,676,7657,3481,4176,18-09-medii,dambovita,9074,4222,4852,1135,7939,4.74,5.28,4.35,18-09-rata,dambovita,9074,1961,444,1408,2117,1406,1738,18-09-varsta,2018,9,201809
dolj,19924,897,9029,5699,1965,119,1811,404,18-09-educatie,dolj,19924,8194,11730,2923,1487,1436,17001,6707,10294,18-09-medii,dolj,19924,8194,11730,2096,17828,7.5,6.92,7.96,18-09-rata,dolj,19924,2064,1110,3622,5864,3383,3881,18-09-varsta,2018,9,201809
galati,13523,1613,2661,5214,2467,67,1202,299,18-09-educatie,galati,13523,5927,7596,2567,1456,1111,10956,4471,6485,18-09-medii,galati,13523,5927,7596,1162,12361,7.04,6.9,7.15,18-09-rata,galati,13523,2261,466,1965,3860,2141,2830,18-09-varsta,2018,9,201809
giurgiu,2398,412,457,722,523,30,184,70,18-09-educatie,giurgiu,2398,1217,1181,537,321,216,1861,896,965,18-09-medii,giurgiu,2398,1217,1181,445,1953,2.92,3.25,2.65,18-09-rata,giurgiu,2398,411,94,359,543,430,561,18-09-varsta,2018,9,201809
gorj,5892,456,454,1717,1596,172,1108,389,18-09-educatie,gorj,5892,2668,3224,1864,981,883,4028,1687,2341,18-09-medii,gorj,5892,2668,3224,1967,3925,4.34,4.17,4.49,18-09-rata,gorj,5892,682,230,905,1598,887,1590,18-09-varsta,2018,9,201809
harghita,5659,1340,1416,986,1049,59,587,222,18-09-educatie,harghita,5659,2522,3137,1741,872,869,3918,1650,2268,18-09-medii,harghita,5659,2522,3137,1386,4273,4.19,4.37,4.06,18-09-rata,harghita,5659,1213,385,1196,1369,726,770,18-09-varsta,2018,9,201809
hunedoara,6587,571,558,1543,2066,114,1137,598,18-09-educatie,hunedoara,6587,3356,3231,4581,2408,2173,2006,948,1058,18-09-medii,hunedoara,6587,3356,3231,3092,3495,3.73,4.06,3.44,18-09-rata,hunedoara,6587,730,433,1152,2112,1226,934,18-09-varsta,2018,9,201809
ialomita,5208,524,1228,1896,737,60,696,67,18-09-educatie,ialomita,5208,2260,2948,1435,667,768,3773,1593,2180,18-09-medii,ialomita,5208,2260,2948,837,4371,5.51,5.24,5.72,18-09-rata,ialomita,5208,645,219,887,1437,926,1094,18-09-varsta,2018,9,201809
iasi,9632,753,1917,3342,920,58,2348,294,18-09-educatie,iasi,9632,4156,5476,1572,779,793,8060,3377,4683,18-09-medii,iasi,9632,4156,5476,853,8779,3.27,3.14,3.37,18-09-rata,iasi,9632,1020,227,1446,2722,1842,2375,18-09-varsta,2018,9,201809
ilfov,1126,225,317,187,225,10,80,82,18-09-educatie,ilfov,1126,617,509,224,146,78,902,471,431,18-09-medii,ilfov,1126,617,509,332,794,0.59,0.75,0.46,18-09-rata,ilfov,1126,191,53,223,294,158,207,18-09-varsta,2018,9,201809
maramures,6430,184,2804,1232,1159,104,577,370,18-09-educatie,maramures,6430,3105,3325,3200,1637,1563,3230,1468,1762,18-09-medii,maramures,6430,3105,3325,1340,5090,3.23,3.45,3.06,18-09-rata,maramures,6430,1056,481,1537,1584,951,821,18-09-varsta,2018,9,201809
mehedinti,8691,0,1830,4210,1374,82,1036,159,18-09-educatie,mehedinti,8691,3599,5092,1699,817,882,6992,2782,4210,18-09-medii,mehedinti,8691,3599,5092,1463,7228,8.34,7.58,8.98,18-09-rata,mehedinti,8691,631,387,1898,2858,1312,1605,18-09-varsta,2018,9,201809
mures,7060,1177,2260,1503,597,73,1244,206,18-09-educatie,mures,7060,2731,4329,1166,615,551,5894,2116,3778,18-09-medii,mures,7060,2731,4329,1049,6011,3.01,2.7,3.24,18-09-rata,mures,7060,1045,596,1613,1944,877,985,18-09-varsta,2018,9,201809
neamt,9175,1087,1674,2888,1807,89,1387,243,18-09-educatie,neamt,9175,3876,5299,1541,786,755,7634,3090,4544,18-09-medii,neamt,9175,3876,5299,1493,7682,5.08,4.79,5.32,18-09-rata,neamt,9175,1126,409,1586,2612,1575,1867,18-09-varsta,2018,9,201809
olt,10252,2313,1437,3397,1490,69,1414,132,18-09-educatie,olt,10252,4156,6096,2032,985,1047,8220,3171,5049,18-09-medii,olt,10252,4156,6096,1065,9187,6.34,5.63,6.93,18-09-rata,olt,10252,1076,420,1682,3059,1829,2186,18-09-varsta,2018,9,201809
prahova,7937,374,2547,1666,1620,100,1148,482,18-09-educatie,prahova,7937,3874,4063,2581,1371,1210,5356,2503,2853,18-09-medii,prahova,7937,3874,4063,2466,5471,2.7,3.06,2.43,18-09-rata,prahova,7937,1130,332,1346,2235,1436,1458,18-09-varsta,2018,9,201809
salaj,4545,641,1454,1139,672,57,443,139,18-09-educatie,salaj,4545,1837,2708,837,430,407,3708,1407,2301,18-09-medii,salaj,4545,1837,2708,774,3771,4.42,3.98,4.78,18-09-rata,salaj,4545,806,319,930,1140,700,650,18-09-varsta,2018,9,201809
satumare,3840,471,1785,959,290,15,220,100,18-09-educatie,satumare,3840,1678,2162,740,358,382,3100,1320,1780,18-09-medii,satum,3840,1678,2162,419,3421,2.6,2.48,2.7,18-09-rata,satumare,3840,547,290,944,1038,517,504,18-09-varsta,2018,9,201809
sibiu,3521,591,1036,814,420,39,388,233,18-09-educatie,sibiu,3521,1625,1896,1103,562,541,2418,1063,1355,18-09-medii,sibiu,3521,1625,1896,902,2619,1.78,1.86,1.73,18-09-rata,sibiu,3521,348,229,718,910,581,735,18-09-varsta,2018,9,201809
suceava,12082,119,430,5966,2557,179,2471,360,18-09-educatie,suceava,12082,5404,6678,3219,1621,1598,8863,3783,5080,18-09-medii,suceava,12082,5404,6678,2915,9167,5.26,5.24,5.29,18-09-rata,suceava,12082,2720,754,2117,3020,1491,1980,18-09-varsta,2018,9,201809
teleorman,12268,545,1874,6354,2080,76,1219,120,18-09-educatie,teleorman,12268,4952,7316,2689,1274,1415,9579,3678,5901,18-09-medii,teleorman,12268,4952,7316,1541,10727,8.33,6.95,9.63,18-09-rata,teleorman,12268,1651,658,2092,3373,2080,2414,18-09-varsta,2018,9,201809
timis,2798,349,265,503,658,40,627,356,18-09-educatie,timis,2798,1525,1273,1439,852,587,1359,673,686,18-09-medii,timis,2798,1525,1273,1519,1279,0.8,0.98,0.66,18-09-rata,timis,2798,402,149,446,820,444,537,18-09-varsta,2018,9,201809
tulcea,2521,0,833,1048,382,0,230,28,18-09-educatie,tulcea,2521,1145,1376,749,389,360,1772,756,1016,18-09-medii,tulcea,2521,1145,1376,587,1934,2.98,2.9,3.06,18-09-rata,tulcea,2521,402,199,594,675,384,267,18-09-varsta,2018,9,201809
valcea,5061,164,594,1298,1637,120,935,313,18-09-educatie,valcea,5061,2492,2569,1872,989,883,3189,1503,1686,18-09-medii,valcea,5061,2492,2569,1621,3440,3.16,3.58,2.84,18-09-rata,valcea,5061,1148,263,802,1335,826,687,18-09-varsta,2018,9,201809
vaslui,11651,475,2444,5000,1997,69,1550,116,18-09-educatie,vaslui,11651,4576,7075,1377,689,688,10274,3887,6387,18-09-medii,vaslui,11651,4576,7075,829,10822,8.47,7.01,9.79,18-09-rata,vaslui,11651,965,382,2007,3982,2057,2258,18-09-varsta,2018,9,201809
vrancea,5956,631,1758,1877,877,76,585,152,18-09-educatie,vrancea,5956,2564,3392,1238,615,623,4718,1949,2769,18-09-medii,vrancea,5956,2564,3392,840,5116,4.34,3.98,4.65,18-09-rata,vrancea,5956,865,287,955,1588,994,1267,18-09-varsta,2018,9,201809
alba,5656,687,783,1595,1310,65,907,309,18-10-educatie,alba,5656,2574,3082,2035,1033,1002,3621,1541,2080,18-10-medii,alba,5656,2574,3082,1709,3947,3.36,3.36,3.36,18-10-rata,alba,5656,868,336,1072,1496,918,966,18-10-varsta,2018,10,201810
arad,2929,1072,372,554,461,35,234,201,18-10-educatie,arad,2929,1475,1454,964,540,424,1965,935,1030,18-10-medii,arad,2929,1475,1454,821,2108,1.37,1.57,1.22,18-10-rata,arad,2929,331,118,418,787,529,746,18-10-varsta,2018,10,201810
arges,8352,802,2080,2688,1215,84,1128,355,18-10-educatie,arges,8352,3784,4568,1253,716,537,7099,3068,4031,18-10-medii,arges,8352,3784,4568,1692,6660,3.21,3.14,3.28,18-10-rata,arges,8352,1062,469,1639,2313,1410,1459,18-10-varsta,2018,10,201810
bacau,12774,2431,815,4140,3685,94,1286,323,18-10-educatie,bacau,12774,5150,7624,2760,1213,1547,10014,3937,6077,18-10-medii,bacau,12774,5150,7624,1856,10918,6.03,5.65,6.33,18-10-rata,bacau,12774,2164,937,2336,3242,2035,2060,18-10-varsta,2018,10,201810
bihor,4367,1255,929,556,752,71,380,424,18-10-educatie,bihor,4367,2188,2179,1219,709,510,3148,1479,1669,18-10-medii,bihor,4367,2188,2179,1399,2968,1.64,1.79,1.5,18-10-rata,bihor,4367,676,284,892,1128,740,647,18-10-varsta,2018,10,201810
bistrita,3657,214,362,1233,998,71,570,209,18-10-educatie,bistrita,3657,1924,1733,1080,660,420,2577,1264,1313,18-10-medii,bistrita,3657,1924,1733,1564,2093,2.79,3.36,2.34,18-10-rata,bistrita,3657,562,206,660,957,647,625,18-10-varsta,2018,10,201810
botosani,4090,163,1246,1147,669,65,663,137,18-10-educatie,botosani,4090,1824,2266,1339,657,682,2751,1167,1584,18-10-medii,botosani,4090,1824,2266,711,3379,2.99,2.85,3.13,18-10-rata,botosani,4090,513,165,646,1239,654,873,18-10-varsta,2018,10,201810
braila,4973,731,1281,1784,462,45,503,167,18-10-educatie,braila,4973,2020,2953,1256,578,678,3717,1442,2275,18-10-medii,braila,4973,2020,2953,586,4387,3.96,3.58,4.27,18-10-rata,braila,4973,603,236,886,1481,629,1138,18-10-varsta,2018,10,201810
brasov,5983,1543,1435,1521,644,45,494,301,18-10-educatie,brasov,5983,2702,3281,1668,891,777,4315,1811,2504,18-10-medii,brasov,5983,2702,3281,841,5142,2.29,2.45,2.17,18-10-rata,brasov,5983,860,451,1336,1441,901,994,18-10-varsta,2018,10,201810
bucuresti,16175,29,144,2687,5413,303,2944,4655,18-10-educatie,buc,16175,8622,7553,16175,8622,7553,0,0,0,18-10-medii,buc,16175,8622,7553,2093,14082,1.35,1.46,1.24,18-10-rata,buc,16175,314,1653,4110,4635,2830,2633,18-10-varsta,2018,10,201810
buzau,12138,2354,2579,3891,1447,82,1659,126,18-10-educatie,buzau,12138,4935,7203,2140,1061,1079,9998,3874,6124,18-10-medii,buzau,12138,4935,7203,1350,10788,7.01,6.24,7.66,18-10-rata,buzau,12138,1319,544,2101,3601,1954,2619,18-10-varsta,2018,10,201810
